Model,MDO3104
Firmware Version,1.30

Waveform Type,RF_FD
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,2.8e+07
,
Sample Interval,373333
Record Length,751
Gating,0.133155792277% to 100.0%
Probe Attenuation,1
Vertical Units,dBm
Vertical Offset,0
Vertical Scale,10
Vertical Position,0
Center Frequency,1.4e+08
Span,2.8e+08
Reference Level,-15
Label,
FREQUENCY,FD NORM
0.000000000e+00,-67.9572
3.733333333e+05,-77.0111
7.466666667e+05,-78.5518
1.120000000e+06,-78.036
1.493333333e+06,-77.1639
1.866666667e+06,-75.5989
2.240000000e+06,-71.7006
2.613333333e+06,-64.1594
2.986666667e+06,-66.6943
3.360000000e+06,-60.656
3.733333333e+06,-62.153
4.106666667e+06,-64.4899
4.480000000e+06,-62.219
4.853333333e+06,-66.153
5.226666667e+06,-68.2793
5.600000000e+06,-71.016
5.973333333e+06,-60.7588
6.346666667e+06,-68.5091
6.720000000e+06,-73.2165
7.093333333e+06,-70.0102
7.466666667e+06,-71.7113
7.840000000e+06,-77.9013
8.213333333e+06,-72.5699
8.586666667e+06,-69.269
8.960000000e+06,-74.565
9.333333333e+06,-70.8875
9.706666667e+06,-69.0301
1.008000000e+07,-70.1441
1.045333333e+07,-69.3257
1.082666667e+07,-75.0666
1.120000000e+07,-72.9123
1.157333333e+07,-66.4712
1.194666667e+07,-56.6737
1.232000000e+07,-63.439
1.269333333e+07,-74.5847
1.306666667e+07,-73.2565
1.344000000e+07,-61.5992
1.381333333e+07,-62.6282
1.418666667e+07,-65.9139
1.456000000e+07,-64.7449
1.493333333e+07,-72.6981
1.530666667e+07,-68.0417
1.568000000e+07,-74.1687
1.605333333e+07,-69.8699
1.642666667e+07,-69.3192
1.680000000e+07,-71.3436
1.717333333e+07,-70.1736
1.754666667e+07,-74.3775
1.792000000e+07,-56.702
1.829333333e+07,-57.9918
1.866666667e+07,-67.4626
1.904000000e+07,-67.7316
1.941333333e+07,-69.8741
1.978666667e+07,-67.8037
2.016000000e+07,-70.2611
2.053333333e+07,-68.7911
2.090666667e+07,-68.6869
2.128000000e+07,-65.0866
2.165333333e+07,-62.4174
2.202666667e+07,-62.263
2.240000000e+07,-69.3485
2.277333333e+07,-68.7083
2.314666667e+07,-67.3939
2.352000000e+07,-71.5488
2.389333333e+07,-68.6905
2.426666667e+07,-59.0528
2.464000000e+07,-58.2193
2.501333333e+07,-51.9912
2.538666667e+07,-57.2856
2.576000000e+07,-69.5448
2.613333333e+07,-65.0622
2.650666667e+07,-70.3476
2.688000000e+07,-63.8217
2.725333333e+07,-60.2976
2.762666667e+07,-65.55
2.800000000e+07,-64.7087
2.837333333e+07,-77.725
2.874666667e+07,-69.0045
2.912000000e+07,-71.9249
2.949333333e+07,-75.7643
2.986666667e+07,-57.5373
3.024000000e+07,-58.4257
3.061333333e+07,-75.7268
3.098666667e+07,-73.0693
3.136000000e+07,-75.1939
3.173333333e+07,-71.2603
3.210666667e+07,-71.4676
3.248000000e+07,-61.0721
3.285333333e+07,-59.2875
3.322666667e+07,-74.552
3.360000000e+07,-82.8361
3.397333333e+07,-73.635
3.434666667e+07,-81.0891
3.472000000e+07,-79.6867
3.509333333e+07,-62.3634
3.546666667e+07,-58.0011
3.584000000e+07,-50.0252
3.621333333e+07,-50.3935
3.658666667e+07,-80.0886
3.696000000e+07,-77.9674
3.733333333e+07,-72.5199
3.770666667e+07,-72.4022
3.808000000e+07,-57.7239
3.845333333e+07,-60.3598
3.882666667e+07,-72.2126
3.920000000e+07,-75.5952
3.957333333e+07,-72.9963
3.994666667e+07,-71.016
4.032000000e+07,-71.5481
4.069333333e+07,-59.7235
4.106666667e+07,-60.3378
4.144000000e+07,-67.9669
4.181333333e+07,-53.5121
4.218666667e+07,-53.3347
4.256000000e+07,-66.3653
4.293333333e+07,-76.7351
4.330666667e+07,-59.8706
4.368000000e+07,-59.5038
4.405333333e+07,-65.0455
4.442666667e+07,-68.3255
4.480000000e+07,-73.5671
4.517333333e+07,-74.2814
4.554666667e+07,-73.3366
4.592000000e+07,-64.5761
4.629333333e+07,-58.3236
4.666666667e+07,-58.7244
4.704000000e+07,-70.8677
4.741333333e+07,-70.3725
4.778666667e+07,-37.8661
4.816000000e+07,-37.1802
4.853333333e+07,-62.4788
4.890666667e+07,-58.9121
4.928000000e+07,-58.2185
4.965333333e+07,-69.7969
5.002666667e+07,-79.6358
5.040000000e+07,-73.5341
5.077333333e+07,-72.1902
5.114666667e+07,-68.4169
5.152000000e+07,-58.2947
5.189333333e+07,-54.5966
5.226666667e+07,-63.9385
5.264000000e+07,-69.9028
5.301333333e+07,-70.385
5.338666667e+07,-76.9531
5.376000000e+07,-51.3903
5.413333333e+07,-49.511
5.450666667e+07,-56.24
5.488000000e+07,-60.3891
5.525333333e+07,-73.2312
5.562666667e+07,-79.3167
5.600000000e+07,-77.466
5.637333333e+07,-74.5148
5.674666667e+07,-69.7533
5.712000000e+07,-52.8686
5.749333333e+07,-53.1215
5.786666667e+07,-73.5665
5.824000000e+07,-79.4112
5.861333333e+07,-75.5746
5.898666667e+07,-73.0748
5.936000000e+07,-70.8384
5.973333333e+07,-33.6918
6.010666667e+07,-31.3804
6.048000000e+07,-49.2653
6.085333333e+07,-72.1367
6.122666667e+07,-73.2515
6.160000000e+07,-75.0243
6.197333333e+07,-73.7666
6.234666667e+07,-59.7742
6.272000000e+07,-52.9059
6.309333333e+07,-60.9474
6.346666667e+07,-74.9086
6.384000000e+07,-74.277
6.421333333e+07,-70.5585
6.458666667e+07,-70.3933
6.496000000e+07,-66.6115
6.533333333e+07,-53.679
6.570666667e+07,-49.9724
6.608000000e+07,-46.2311
6.645333333e+07,-61.2857
6.682666667e+07,-66.1731
6.720000000e+07,-76.3378
6.757333333e+07,-67.5418
6.794666667e+07,-56.0226
6.832000000e+07,-57.0651
6.869333333e+07,-65.7098
6.906666667e+07,-69.9235
6.944000000e+07,-67.3018
6.981333333e+07,-75.0074
7.018666667e+07,-74.5982
7.056000000e+07,-57.271
7.093333333e+07,-54.5699
7.130666667e+07,-58.9752
7.168000000e+07,-45.0146
7.205333333e+07,-40.9389
7.242666667e+07,-54.923
7.280000000e+07,-72.1258
7.317333333e+07,-63.5939
7.354666667e+07,-55.857
7.392000000e+07,-55.9072
7.429333333e+07,-69.7445
7.466666667e+07,-68.3669
7.504000000e+07,-71.6608
7.541333333e+07,-74.6664
7.578666667e+07,-64.7402
7.616000000e+07,-59.2939
7.653333333e+07,-57.2469
7.690666667e+07,-64.9407
7.728000000e+07,-70.9623
7.765333333e+07,-56.5315
7.802666667e+07,-49.5463
7.840000000e+07,-60.7093
7.877333333e+07,-58.9545
7.914666667e+07,-54.8116
7.952000000e+07,-61.4365
7.989333333e+07,-75.7636
8.026666667e+07,-71.0453
8.064000000e+07,-67.9519
8.101333333e+07,-68.7075
8.138666667e+07,-59.6753
8.176000000e+07,-54.9951
8.213333333e+07,-57.4042
8.250666667e+07,-70.3787
8.288000000e+07,-67.8108
8.325333333e+07,-73.2992
8.362666667e+07,-49.8956
8.400000000e+07,-41.4795
8.437333333e+07,-48.5136
8.474666667e+07,-53.6376
8.512000000e+07,-69.9634
8.549333333e+07,-68.665
8.586666667e+07,-68.0003
8.624000000e+07,-71.1388
8.661333333e+07,-70.3929
8.698666667e+07,-57.0941
8.736000000e+07,-53.5456
8.773333333e+07,-73.7421
8.810666667e+07,-74.2155
8.848000000e+07,-75.1039
8.885333333e+07,-68.6248
8.922666667e+07,-70.1222
8.960000000e+07,-57.3663
8.997333333e+07,-46.1487
9.034666667e+07,-52.6917
9.072000000e+07,-71.2559
9.109333333e+07,-75.8805
9.146666667e+07,-74.1378
9.184000000e+07,-78.5947
9.221333333e+07,-73.1446
9.258666667e+07,-53.6113
9.296000000e+07,-55.4979
9.333333333e+07,-66.6968
9.370666667e+07,-78.7296
9.408000000e+07,-69.554
9.445333333e+07,-68.9779
9.482666667e+07,-67.1013
9.520000000e+07,-52.4498
9.557333333e+07,-52.0227
9.594666667e+07,-43.0437
9.632000000e+07,-49.2282
9.669333333e+07,-73.3276
9.706666667e+07,-70.3231
9.744000000e+07,-71.2168
9.781333333e+07,-57.2033
9.818666667e+07,-53.5561
9.856000000e+07,-59.0195
9.893333333e+07,-67.4224
9.930666667e+07,-66.5789
9.968000000e+07,-68.2202
1.000533333e+08,-65.252
1.004266667e+08,-61.7036
1.008000000e+08,-52.6025
1.011733333e+08,-54.1257
1.015466667e+08,-66.8971
1.019200000e+08,-54.2122
1.022933333e+08,-56.3377
1.026666667e+08,-67.8792
1.030400000e+08,-66.221
1.034133333e+08,-54.6363
1.037866667e+08,-55.6318
1.041600000e+08,-67.7457
1.045333333e+08,-67.8013
1.049066667e+08,-68.7007
1.052800000e+08,-70.8584
1.056533333e+08,-73.202
1.060266667e+08,-54.4671
1.064000000e+08,-52.6231
1.067733333e+08,-55.8077
1.071466667e+08,-66.7189
1.075200000e+08,-67.069
1.078933333e+08,-50.9435
1.082666667e+08,-53.9569
1.086400000e+08,-59.5937
1.090133333e+08,-54.3851
1.093866667e+08,-55.2044
1.097600000e+08,-67.0192
1.101333333e+08,-69.0588
1.105066667e+08,-78.3472
1.108800000e+08,-72.4015
1.112533333e+08,-68.1187
1.116266667e+08,-52.1894
1.120000000e+08,-50.7603
1.123733333e+08,-67.5315
1.127466667e+08,-67.4827
1.131200000e+08,-68.3616
1.134933333e+08,-65.6532
1.138666667e+08,-59.9107
1.142400000e+08,-56.8121
1.146133333e+08,-52.1051
1.149866667e+08,-62.509
1.153600000e+08,-70.293
1.157333333e+08,-69.9971
1.161066667e+08,-66.032
1.164800000e+08,-65.882
1.168533333e+08,-62.0896
1.172266667e+08,-49.5426
1.176000000e+08,-54.1575
1.179733333e+08,-71.2647
1.183466667e+08,-69.5851
1.187200000e+08,-73.7175
1.190933333e+08,-70.7833
1.194666667e+08,-64.6187
1.198400000e+08,-33.9121
1.202133333e+08,-34.5595
1.205866667e+08,-61.427
1.209600000e+08,-74.36
1.213333333e+08,-71.5714
1.217066667e+08,-69.7142
1.220800000e+08,-64.9636
1.224533333e+08,-51.676
1.228266667e+08,-49.5865
1.232000000e+08,-61.7302
1.235733333e+08,-71.5643
1.239466667e+08,-73.1701
1.243200000e+08,-69.9821
1.246933333e+08,-71.8567
1.250666667e+08,-58.7748
1.254400000e+08,-51.4368
1.258133333e+08,-54.566
1.261866667e+08,-55.5434
1.265600000e+08,-70.6239
1.269333333e+08,-64.6078
1.273066667e+08,-65.2568
1.276800000e+08,-66.9074
1.280533333e+08,-50.2943
1.284266667e+08,-53.2262
1.288000000e+08,-64.6334
1.291733333e+08,-67.1815
1.295466667e+08,-69.0823
1.299200000e+08,-67.1371
1.302933333e+08,-65.7464
1.306666667e+08,-51.6261
1.310400000e+08,-52.1585
1.314133333e+08,-62.8572
1.317866667e+08,-48.9061
1.321600000e+08,-48.1387
1.325333333e+08,-70.6025
1.329066667e+08,-65.0198
1.332800000e+08,-51.3532
1.336533333e+08,-49.954
1.340266667e+08,-53.3312
1.344000000e+08,-64.0556
1.347733333e+08,-68.0109
1.351466667e+08,-65.4393
1.355200000e+08,-66.0041
1.358933333e+08,-60.078
1.362666667e+08,-52.1198
1.366400000e+08,-52.4924
1.370133333e+08,-67.8935
1.373866667e+08,-66.1842
1.377600000e+08,-61.0198
1.381333333e+08,-62.4034
1.385066667e+08,-62.6083
1.388800000e+08,-51.2454
1.392533333e+08,-49.079
1.396266667e+08,-61.6164
1.400000000e+08,-64.9806
1.403733333e+08,-66.6731
1.407466667e+08,-66.8177
1.411200000e+08,-65.5982
1.414933333e+08,-56.2563
1.418666667e+08,-51.1264
1.422400000e+08,-57.6714
1.426133333e+08,-75.2361
1.429866667e+08,-65.8074
1.433600000e+08,-61.3437
1.437333333e+08,-47.9681
1.441066667e+08,-45.6242
1.444800000e+08,-48.1551
1.448533333e+08,-50.2454
1.452266667e+08,-65.0546
1.456000000e+08,-65.156
1.459733333e+08,-70.561
1.463466667e+08,-66.3145
1.467200000e+08,-68.7014
1.470933333e+08,-51.3922
1.474666667e+08,-51.1363
1.478400000e+08,-70.8656
1.482133333e+08,-66.1146
1.485866667e+08,-70.0541
1.489600000e+08,-69.3937
1.493333333e+08,-70.0183
1.497066667e+08,-52.2273
1.500800000e+08,-48.3214
1.504533333e+08,-61.9028
1.508266667e+08,-70.5643
1.512000000e+08,-72.278
1.515733333e+08,-74.5099
1.519466667e+08,-70.5912
1.523200000e+08,-60.8571
1.526933333e+08,-51.024
1.530666667e+08,-57.6287
1.534400000e+08,-69.4142
1.538133333e+08,-70.5807
1.541866667e+08,-69.6054
1.545600000e+08,-70.8176
1.549333333e+08,-66.5507
1.553066667e+08,-48.467
1.556800000e+08,-45.7645
1.560533333e+08,-40.934
1.564266667e+08,-52.6358
1.568000000e+08,-65.8374
1.571733333e+08,-65.6238
1.575466667e+08,-63.9192
1.579200000e+08,-51.5294
1.582933333e+08,-51.6052
1.586666667e+08,-62.4959
1.590400000e+08,-68.404
1.594133333e+08,-66.4661
1.597866667e+08,-69.5549
1.601600000e+08,-63.5862
1.605333333e+08,-52.3612
1.609066667e+08,-49.2669
1.612800000e+08,-53.7818
1.616533333e+08,-63.5481
1.620266667e+08,-64.6581
1.624000000e+08,-75.2556
1.627733333e+08,-67.8238
1.631466667e+08,-62.9041
1.635200000e+08,-52.5543
1.638933333e+08,-53.2415
1.642666667e+08,-65.4525
1.646400000e+08,-70.4
1.650133333e+08,-64.6443
1.653866667e+08,-63.1624
1.657600000e+08,-64.784
1.661333333e+08,-50.7495
1.665066667e+08,-48.709
1.668800000e+08,-60.9175
1.672533333e+08,-69.0242
1.676266667e+08,-55.601
1.680000000e+08,-46.5085
1.683733333e+08,-53.0439
1.687466667e+08,-56.6633
1.691200000e+08,-53.4695
1.694933333e+08,-58.0517
1.698666667e+08,-73.984
1.702400000e+08,-70.8054
1.706133333e+08,-64.9275
1.709866667e+08,-68.6957
1.713600000e+08,-57.8931
1.717333333e+08,-48.2072
1.721066667e+08,-48.7943
1.724800000e+08,-67.1402
1.728533333e+08,-69.5398
1.732266667e+08,-67.5908
1.736000000e+08,-72.3492
1.739733333e+08,-67.8117
1.743466667e+08,-53.2077
1.747200000e+08,-51.9634
1.750933333e+08,-72.7043
1.754666667e+08,-67.364
1.758400000e+08,-69.7371
1.762133333e+08,-68.9985
1.765866667e+08,-73.0197
1.769600000e+08,-50.5164
1.773333333e+08,-46.3736
1.777066667e+08,-61.6836
1.780800000e+08,-67.5971
1.784533333e+08,-69.921
1.788266667e+08,-69.0209
1.792000000e+08,-75.4378
1.795733333e+08,-60.8375
1.799466667e+08,-46.6539
1.803200000e+08,-51.4618
1.806933333e+08,-73.3623
1.810666667e+08,-71.9089
1.814400000e+08,-70.0837
1.818133333e+08,-71.077
1.821866667e+08,-63.8278
1.825600000e+08,-46.6596
1.829333333e+08,-47.7801
1.833066667e+08,-65.7984
1.836800000e+08,-64.1517
1.840533333e+08,-64.4766
1.844266667e+08,-69.1751
1.848000000e+08,-69.8322
1.851733333e+08,-53.7028
1.855466667e+08,-51.9178
1.859200000e+08,-59.9488
1.862933333e+08,-70.1968
1.866666667e+08,-72.1233
1.870400000e+08,-73.3807
1.874133333e+08,-65.1752
1.877866667e+08,-53.2374
1.881600000e+08,-47.3322
1.885333333e+08,-51.9491
1.889066667e+08,-61.7322
1.892800000e+08,-68.5366
1.896533333e+08,-68.5449
1.900266667e+08,-63.275
1.904000000e+08,-65.0979
1.907733333e+08,-51.7939
1.911466667e+08,-54.5211
1.915200000e+08,-51.9965
1.918933333e+08,-47.4038
1.922666667e+08,-49.5038
1.926400000e+08,-65.9472
1.930133333e+08,-62.4177
1.933866667e+08,-49.4372
1.937600000e+08,-48.9585
1.941333333e+08,-54.8881
1.945066667e+08,-64.8956
1.948800000e+08,-68.5473
1.952533333e+08,-64.3197
1.956266667e+08,-67.2929
1.960000000e+08,-56.0409
1.963733333e+08,-54.7308
1.967466667e+08,-57.8405
