Model,MDO3104
Firmware Version,1.30

Waveform Type,RF_FD
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,2.8e+07
,
Sample Interval,373333
Record Length,751
Gating,0.133155792277% to 100.0%
Probe Attenuation,1
Vertical Units,dBm
Vertical Offset,0
Vertical Scale,10
Vertical Position,0
Center Frequency,1.4e+08
Span,2.8e+08
Reference Level,-15
Label,
FREQUENCY,FD NORM
0.000000000e+00,-60.3788
3.733333333e+05,-69.2164
7.466666667e+05,-78.7339
1.120000000e+06,-75.4254
1.493333333e+06,-70.4562
1.866666667e+06,-70.7512
2.240000000e+06,-74.0555
2.613333333e+06,-68.5926
2.986666667e+06,-69.1147
3.360000000e+06,-62.7899
3.733333333e+06,-63.9761
4.106666667e+06,-63.9246
4.480000000e+06,-62.5941
4.853333333e+06,-70.0143
5.226666667e+06,-66.4925
5.600000000e+06,-66.4507
5.973333333e+06,-69.4983
6.346666667e+06,-69.1178
6.720000000e+06,-70.5583
7.093333333e+06,-70.6833
7.466666667e+06,-75.0661
7.840000000e+06,-68.8147
8.213333333e+06,-67.2909
8.586666667e+06,-70.298
8.960000000e+06,-69.1601
9.333333333e+06,-69.1586
9.706666667e+06,-69.898
1.008000000e+07,-67.7563
1.045333333e+07,-67.3349
1.082666667e+07,-70.5559
1.120000000e+07,-75.2449
1.157333333e+07,-67.5143
1.194666667e+07,-65.6008
1.232000000e+07,-68.1127
1.269333333e+07,-65.6722
1.306666667e+07,-72.7992
1.344000000e+07,-65.5212
1.381333333e+07,-65.8973
1.418666667e+07,-69.3561
1.456000000e+07,-75.2405
1.493333333e+07,-68.7004
1.530666667e+07,-68.4141
1.568000000e+07,-70.7152
1.605333333e+07,-63.7804
1.642666667e+07,-62.6652
1.680000000e+07,-64.2361
1.717333333e+07,-68.5251
1.754666667e+07,-70.1111
1.792000000e+07,-71.0441
1.829333333e+07,-67.4766
1.866666667e+07,-77.3675
1.904000000e+07,-61.7231
1.941333333e+07,-62.6496
1.978666667e+07,-69.991
2.016000000e+07,-68.4971
2.053333333e+07,-66.158
2.090666667e+07,-71.4137
2.128000000e+07,-70.8857
2.165333333e+07,-64.0564
2.202666667e+07,-64.0928
2.240000000e+07,-67.1521
2.277333333e+07,-74.6076
2.314666667e+07,-72.3402
2.352000000e+07,-69.1371
2.389333333e+07,-70.7224
2.426666667e+07,-75.3534
2.464000000e+07,-65.5089
2.501333333e+07,-53.6559
2.538666667e+07,-62.526
2.576000000e+07,-66.0342
2.613333333e+07,-67.7111
2.650666667e+07,-70.4041
2.688000000e+07,-66.2063
2.725333333e+07,-61.6624
2.762666667e+07,-66.4239
2.800000000e+07,-75.7944
2.837333333e+07,-72.8292
2.874666667e+07,-78.5895
2.912000000e+07,-77.35
2.949333333e+07,-73.8873
2.986666667e+07,-60.0126
3.024000000e+07,-62.0985
3.061333333e+07,-72.9926
3.098666667e+07,-69.9749
3.136000000e+07,-71.1232
3.173333333e+07,-77.0824
3.210666667e+07,-72.215
3.248000000e+07,-61.3815
3.285333333e+07,-60.2281
3.322666667e+07,-71.4987
3.360000000e+07,-76.6706
3.397333333e+07,-76.6068
3.434666667e+07,-71.1492
3.472000000e+07,-74.0681
3.509333333e+07,-63.4423
3.546666667e+07,-58.2271
3.584000000e+07,-58.0301
3.621333333e+07,-58.3097
3.658666667e+07,-80.5547
3.696000000e+07,-76.3503
3.733333333e+07,-78.9383
3.770666667e+07,-70.9606
3.808000000e+07,-59.0723
3.845333333e+07,-67.4219
3.882666667e+07,-73.689
3.920000000e+07,-76.778
3.957333333e+07,-74.4975
3.994666667e+07,-68.9973
4.032000000e+07,-70.0958
4.069333333e+07,-59.8806
4.106666667e+07,-61.6039
4.144000000e+07,-66.1667
4.181333333e+07,-76.3982
4.218666667e+07,-71.7398
4.256000000e+07,-77.1961
4.293333333e+07,-72.4749
4.330666667e+07,-59.6707
4.368000000e+07,-58.9541
4.405333333e+07,-65.574
4.442666667e+07,-73.9105
4.480000000e+07,-71.665
4.517333333e+07,-70.8942
4.554666667e+07,-71.5892
4.592000000e+07,-61.5093
4.629333333e+07,-58.9627
4.666666667e+07,-59.1393
4.704000000e+07,-66.8931
4.741333333e+07,-68.0338
4.778666667e+07,-70.0566
4.816000000e+07,-69.8338
4.853333333e+07,-70.0914
4.890666667e+07,-61.6242
4.928000000e+07,-58.9652
4.965333333e+07,-66.6261
5.002666667e+07,-73.9835
5.040000000e+07,-70.7283
5.077333333e+07,-68.444
5.114666667e+07,-74.5094
5.152000000e+07,-61.3639
5.189333333e+07,-55.2596
5.226666667e+07,-63.3794
5.264000000e+07,-68.8666
5.301333333e+07,-76.2524
5.338666667e+07,-75.345
5.376000000e+07,-75.0119
5.413333333e+07,-65.1917
5.450666667e+07,-54.9873
5.488000000e+07,-57.7589
5.525333333e+07,-71.8797
5.562666667e+07,-77.5748
5.600000000e+07,-73.1665
5.637333333e+07,-74.1562
5.674666667e+07,-73.9427
5.712000000e+07,-53.2076
5.749333333e+07,-53.179
5.786666667e+07,-75.6758
5.824000000e+07,-76.7786
5.861333333e+07,-78.378
5.898666667e+07,-75.198
5.936000000e+07,-74.6043
5.973333333e+07,-36.1298
6.010666667e+07,-33.8236
6.048000000e+07,-52.2218
6.085333333e+07,-70.3664
6.122666667e+07,-68.6811
6.160000000e+07,-68.5955
6.197333333e+07,-69.392
6.234666667e+07,-58.345
6.272000000e+07,-51.4902
6.309333333e+07,-60.1561
6.346666667e+07,-66.5381
6.384000000e+07,-66.2812
6.421333333e+07,-65.7979
6.458666667e+07,-69.7623
6.496000000e+07,-68.5236
6.533333333e+07,-54.2949
6.570666667e+07,-57.4549
6.608000000e+07,-69.5824
6.645333333e+07,-69.1456
6.682666667e+07,-74.0033
6.720000000e+07,-70.1412
6.757333333e+07,-66.1314
6.794666667e+07,-55.7056
6.832000000e+07,-56.1519
6.869333333e+07,-64.5499
6.906666667e+07,-66.4317
6.944000000e+07,-65.4916
6.981333333e+07,-71.343
7.018666667e+07,-75.488
7.056000000e+07,-57.1947
7.093333333e+07,-55.6986
7.130666667e+07,-64.4536
7.168000000e+07,-61.4957
7.205333333e+07,-62.0002
7.242666667e+07,-72.2748
7.280000000e+07,-68.1927
7.317333333e+07,-61.6672
7.354666667e+07,-56.3371
7.392000000e+07,-58.946
7.429333333e+07,-64.2059
7.466666667e+07,-63.9963
7.504000000e+07,-64.8956
7.541333333e+07,-70.5711
7.578666667e+07,-68.005
7.616000000e+07,-58.8804
7.653333333e+07,-56.2787
7.690666667e+07,-62.0678
7.728000000e+07,-72.2628
7.765333333e+07,-71.1259
7.802666667e+07,-67.7844
7.840000000e+07,-70.8411
7.877333333e+07,-58.3445
7.914666667e+07,-54.837
7.952000000e+07,-60.9599
7.989333333e+07,-63.5244
8.026666667e+07,-68.7079
8.064000000e+07,-67.3447
8.101333333e+07,-67.9609
8.138666667e+07,-62.4383
8.176000000e+07,-54.5569
8.213333333e+07,-55.895
8.250666667e+07,-68.1034
8.288000000e+07,-69.2272
8.325333333e+07,-66.9869
8.362666667e+07,-61.1152
8.400000000e+07,-52.8898
8.437333333e+07,-55.1463
8.474666667e+07,-53.9906
8.512000000e+07,-68.9282
8.549333333e+07,-70.5192
8.586666667e+07,-68.5363
8.624000000e+07,-76.3199
8.661333333e+07,-71.4857
8.698666667e+07,-58.7938
8.736000000e+07,-54.7639
8.773333333e+07,-69.8816
8.810666667e+07,-71.698
8.848000000e+07,-76.9949
8.885333333e+07,-67.8084
8.922666667e+07,-72.3229
8.960000000e+07,-63.898
8.997333333e+07,-51.429
9.034666667e+07,-58.1763
9.072000000e+07,-72.6883
9.109333333e+07,-72.7451
9.146666667e+07,-75.4886
9.184000000e+07,-74.8361
9.221333333e+07,-70.7192
9.258666667e+07,-53.4601
9.296000000e+07,-55.7807
9.333333333e+07,-71.3328
9.370666667e+07,-70.9146
9.408000000e+07,-67.9663
9.445333333e+07,-73.3025
9.482666667e+07,-71.0472
9.520000000e+07,-51.4079
9.557333333e+07,-51.2701
9.594666667e+07,-53.1755
9.632000000e+07,-61.8943
9.669333333e+07,-69.1342
9.706666667e+07,-70.0061
9.744000000e+07,-68.8665
9.781333333e+07,-57.2408
9.818666667e+07,-53.8249
9.856000000e+07,-59.5788
9.893333333e+07,-65.2588
9.930666667e+07,-65.2771
9.968000000e+07,-67.2681
1.000533333e+08,-65.8369
1.004266667e+08,-61.2854
1.008000000e+08,-52.6988
1.011733333e+08,-54.6682
1.015466667e+08,-65.2962
1.019200000e+08,-64.43
1.022933333e+08,-77.56
1.026666667e+08,-69.5354
1.030400000e+08,-69.969
1.034133333e+08,-55.4203
1.037866667e+08,-56.5327
1.041600000e+08,-64.632
1.045333333e+08,-74.4683
1.049066667e+08,-67.0984
1.052800000e+08,-67.4908
1.056533333e+08,-66.8891
1.060266667e+08,-54.4749
1.064000000e+08,-52.8317
1.067733333e+08,-55.2306
1.071466667e+08,-65.6374
1.075200000e+08,-70.9948
1.078933333e+08,-51.6421
1.082666667e+08,-54.0482
1.086400000e+08,-60.2254
1.090133333e+08,-56.5225
1.093866667e+08,-57.236
1.097600000e+08,-63.7542
1.101333333e+08,-74.7953
1.105066667e+08,-67.3015
1.108800000e+08,-67.4359
1.112533333e+08,-62.8417
1.116266667e+08,-53.4002
1.120000000e+08,-50.6409
1.123733333e+08,-63.1798
1.127466667e+08,-74.9855
1.131200000e+08,-77.6039
1.134933333e+08,-71.762
1.138666667e+08,-70.9007
1.142400000e+08,-59.1866
1.146133333e+08,-53.379
1.149866667e+08,-63.9234
1.153600000e+08,-68.9577
1.157333333e+08,-73.9361
1.161066667e+08,-67.8559
1.164800000e+08,-67.9294
1.168533333e+08,-60.4189
1.172266667e+08,-49.2944
1.176000000e+08,-53.4062
1.179733333e+08,-73.0739
1.183466667e+08,-73.1368
1.187200000e+08,-74.6314
1.190933333e+08,-82.6208
1.194666667e+08,-61.1138
1.198400000e+08,-35.7184
1.202133333e+08,-36.4671
1.205866667e+08,-68.3693
1.209600000e+08,-69.3629
1.213333333e+08,-67.4455
1.217066667e+08,-77.597
1.220800000e+08,-68.8808
1.224533333e+08,-50.6629
1.228266667e+08,-49.1031
1.232000000e+08,-67.7652
1.235733333e+08,-71.4179
1.239466667e+08,-69.088
1.243200000e+08,-69.82
1.246933333e+08,-68.612
1.250666667e+08,-58.1921
1.254400000e+08,-51.5623
1.258133333e+08,-58.86
1.261866667e+08,-67.5064
1.265600000e+08,-68.0251
1.269333333e+08,-68.7678
1.273066667e+08,-70.485
1.276800000e+08,-63.1244
1.280533333e+08,-50.1816
1.284266667e+08,-54.367
1.288000000e+08,-61.9781
1.291733333e+08,-67.0667
1.295466667e+08,-65.153
1.299200000e+08,-65.8692
1.302933333e+08,-65.4664
1.306666667e+08,-51.4683
1.310400000e+08,-52.089
1.314133333e+08,-60.3076
1.317866667e+08,-49.5902
1.321600000e+08,-48.744
1.325333333e+08,-69.1659
1.329066667e+08,-64.8361
1.332800000e+08,-52.5505
1.336533333e+08,-51.2899
1.340266667e+08,-53.5603
1.344000000e+08,-64.519
1.347733333e+08,-64.5668
1.351466667e+08,-66.3197
1.355200000e+08,-64.4534
1.358933333e+08,-57.9977
1.362666667e+08,-53.8946
1.366400000e+08,-53.8868
1.370133333e+08,-63.0082
1.373866667e+08,-64.6089
1.377600000e+08,-66.7917
1.381333333e+08,-72.1892
1.385066667e+08,-62.3935
1.388800000e+08,-52.406
1.392533333e+08,-49.6516
1.396266667e+08,-62.1305
1.400000000e+08,-65.9728
1.403733333e+08,-67.4451
1.407466667e+08,-69.0086
1.411200000e+08,-64.6591
1.414933333e+08,-58.3186
1.418666667e+08,-52.707
1.422400000e+08,-59.4778
1.426133333e+08,-66.4041
1.429866667e+08,-67.2927
1.433600000e+08,-70.9411
1.437333333e+08,-53.9849
1.441066667e+08,-56.0043
1.444800000e+08,-49.0796
1.448533333e+08,-51.1926
1.452266667e+08,-67.8278
1.456000000e+08,-69.3979
1.459733333e+08,-74.3642
1.463466667e+08,-70.0441
1.467200000e+08,-71.1148
1.470933333e+08,-52.218
1.474666667e+08,-51.5803
1.478400000e+08,-68.2523
1.482133333e+08,-70.0395
1.485866667e+08,-71.4715
1.489600000e+08,-70.1212
1.493333333e+08,-75.3112
1.497066667e+08,-52.6689
1.500800000e+08,-48.5803
1.504533333e+08,-60.0678
1.508266667e+08,-65.5891
1.512000000e+08,-66.4256
1.515733333e+08,-65.8342
1.519466667e+08,-69.7359
1.523200000e+08,-59.4831
1.526933333e+08,-51.1718
1.530666667e+08,-59.4209
1.534400000e+08,-73.1296
1.538133333e+08,-72.9642
1.541866667e+08,-72.6044
1.545600000e+08,-65.3719
1.549333333e+08,-67.2596
1.553066667e+08,-48.1578
1.556800000e+08,-50.1989
1.560533333e+08,-48.9092
1.564266667e+08,-61.762
1.568000000e+08,-73.0029
1.571733333e+08,-66.3884
1.575466667e+08,-66.9045
1.579200000e+08,-52.144
1.582933333e+08,-52.8163
1.586666667e+08,-63.0054
1.590400000e+08,-70.452
1.594133333e+08,-72.9257
1.597866667e+08,-66.0516
1.601600000e+08,-64.7287
1.605333333e+08,-51.0879
1.609066667e+08,-49.0088
1.612800000e+08,-53.0288
1.616533333e+08,-60.9148
1.620266667e+08,-61.8815
1.624000000e+08,-65.109
1.627733333e+08,-68.4114
1.631466667e+08,-60.7554
1.635200000e+08,-53.9931
1.638933333e+08,-56.3563
1.642666667e+08,-62.7043
1.646400000e+08,-69.1431
1.650133333e+08,-67.0625
1.653866667e+08,-70.4575
1.657600000e+08,-62.4729
1.661333333e+08,-52.0255
1.665066667e+08,-50.8583
1.668800000e+08,-61.1314
1.672533333e+08,-65.1048
1.676266667e+08,-59.9239
1.680000000e+08,-67.3758
1.683733333e+08,-63.8589
1.687466667e+08,-55.9762
1.691200000e+08,-53.1621
1.694933333e+08,-56.2558
1.698666667e+08,-73.2152
1.702400000e+08,-74.5824
1.706133333e+08,-66.7109
1.709866667e+08,-65.0987
1.713600000e+08,-56.9011
1.717333333e+08,-48.1772
1.721066667e+08,-48.9515
1.724800000e+08,-69.0583
1.728533333e+08,-69.1477
1.732266667e+08,-70.4136
1.736000000e+08,-65.9166
1.739733333e+08,-64.8762
1.743466667e+08,-53.2398
1.747200000e+08,-51.65
1.750933333e+08,-67.0005
1.754666667e+08,-65.0175
1.758400000e+08,-71.2574
1.762133333e+08,-68.1681
1.765866667e+08,-67.6138
1.769600000e+08,-51.5334
1.773333333e+08,-47.1206
1.777066667e+08,-60.6275
1.780800000e+08,-75.6025
1.784533333e+08,-70.4059
1.788266667e+08,-68.1055
1.792000000e+08,-69.1246
1.795733333e+08,-54.1425
1.799466667e+08,-40.7866
1.803200000e+08,-45.8423
1.806933333e+08,-66.4398
1.810666667e+08,-67.7757
1.814400000e+08,-78.0395
1.818133333e+08,-67.8383
1.821866667e+08,-65.4397
1.825600000e+08,-47.0307
1.829333333e+08,-48.7269
1.833066667e+08,-62.1918
1.836800000e+08,-64.9365
1.840533333e+08,-69.8859
1.844266667e+08,-68.9651
1.848000000e+08,-64.0581
1.851733333e+08,-52.5931
1.855466667e+08,-51.3513
1.859200000e+08,-61.7276
1.862933333e+08,-67.0873
1.866666667e+08,-64.2787
1.870400000e+08,-65.7045
1.874133333e+08,-70.9137
1.877866667e+08,-52.8347
1.881600000e+08,-48.113
1.885333333e+08,-54.9657
1.889066667e+08,-62.8941
1.892800000e+08,-64.1301
1.896533333e+08,-66.4831
1.900266667e+08,-61.4745
1.904000000e+08,-62.4534
1.907733333e+08,-52.7394
1.911466667e+08,-55.6923
1.915200000e+08,-53.837
1.918933333e+08,-54.4293
1.922666667e+08,-65.0339
1.926400000e+08,-68.6318
1.930133333e+08,-60.9592
1.933866667e+08,-49.057
1.937600000e+08,-49.447
1.941333333e+08,-53.6975
1.945066667e+08,-62.0834
1.948800000e+08,-69.8721
1.952533333e+08,-67.543
1.956266667e+08,-62.7558
1.960000000e+08,-55.8822
1.963733333e+08,-54.2255
1.967466667e+08,-55.9276
